name,latitude,longitude,iata_code,country
Sahnewal,30.85,75.96, LUH,IN
Solapur,17.63,75.93, SSE,IN
Birsa Munda,23.32,85.32, IXR,IN
Ahwaz,31.34,48.75, AWZ,IR
Gwalior,26.29,78.22, GWL,IN
Hodeidah Int'l,14.76,42.97, HOD,YE
Devi Ahilyabai Holkar Int'l,22.73,75.81, IDR,IN
Gandhinagar,19.97,73.81, ISK,IN
Chandigarh Int'l,30.67,76.8, IXC,IN
Aurangabad,19.87,75.4, IXU,IN
Faisalabad Int'l,31.36,72.99, LYP,PK
Omsk Tsentralny,54.96,73.32, OMS,RU
Novosibirsk Tolmachev,55.01,82.67, OVB,RU
Zaporozhye Int'l,47.87,35.3, OZH,UA
Simpang Tiga,0.46,101.45, PKU,ID
Rota Int'l,14.17,145.24, ROP,MP
Surgut,61.34,73.41, SGC,RU
Tiruchirappalli,10.76,78.71, TRZ,IN
Turbat Int'l,25.99,63.03, TUK,PK
Quetta Int'l,30.25,66.95, UET,PK
Zahedan Int'l,29.48,60.9, ZAH,IR
Abdul Rachman Saleh,-7.93,112.71, MLG,ID
Barnaul,53.36,83.55, BAX,RU
Adampur,31.43,75.76, NULL,IN
Bareilly,28.42,79.45, NULL,IN
Dhamial,33.56,73.03, NULL,PK
Cheongju Int'l,36.72,127.5, CJJ,KR
Gwangju,35.14,126.81, KWJ,KR
Daegu Int'l,35.9,128.64, TAE,KR
Ulsan,35.59,129.36, USN,KR
Radin Inten II,-5.24,105.18, TKG,ID
Allahabad,25.44,81.73, IXD,IN
Chelyabinsk,55.3,61.51, CEK,RU
Tainan,22.95,120.21, TNN,TW
Taichung,24.27,120.63, RMQ,TW
Rotterdam The Hague,51.95,4.43, RTM,NL
Voronezh-Chertovitskoye,51.81,39.23, VOZ,RU
Liverpool John Lennon,53.34,-2.86, LPL,GB
Vishakapatnam,17.73,83.22, VTZ,IN
Sultan Hasanuddin Int'l,-5.06,119.55, UPG,ID
Vava'u Int'l,-18.59,-173.97, VAV,TO
Newcastle Int'l,55.04,-1.71, NCL,GB
Goloson Int'l,15.75,-86.85, LCE,HN
Madinah Int'l,24.54,39.7, MED,SA
Mirabel Int'l,45.68,-74.03, YMX,CA
Palanga Int'l,55.97,21.1, PLQ,LT
Jaipur Int'l,26.82,75.8, JAI,IN
Sonari,22.82,86.17, IXW,IN
Yenisehir,40.26,29.54, YEI,TR
Şakirpaşa,36.99,35.3, ADA,TR
Kodiak,57.75,-152.49, ADQ,US
Amarillo Int'l,35.22,-101.71, AMA,US
Alice Springs,-23.8,133.9, ASP,AU
Raja Sansi Int'l,31.71,74.81, ATQ,IN
Biju Patnaik,20.25,85.82, BBI,IN
Bethel,60.78,-161.84, BET,US
Palonegro,7.13,-73.18, BGA,CO
Birmingham Int'l,33.56,-86.75, BHM,US
Broken Hill,-32.0,141.47, BHQ,AU
Logan Int'l,45.8,-108.54, BIL,US
Bismarck Muni.,46.78,-100.76, BIS,US
Del Bajio Int'l,20.99,-101.48, BJX,MX
Benin,6.32,5.6, BNI,NG
Bourgas,42.57,27.52, BOJ,BG
Bremen,53.05,8.79, BRE,DE
Jacinto Lara Int'l,10.05,-69.36, BRM,VE
Brownsville-South Padre Island Int'l,25.91,-97.43, BRO,US
Bristol Int'l,51.39,-2.71, BRS,GB
Baton Rouge Metro,30.53,-91.16, BTR,US
Bratislava-M.R. Štefánik,48.17,17.2, BTS,SK
Burlington Int'l,44.47,-73.16, BTV,US
Columbia Metro,33.93,-81.11, CAE,US
Calicut Int'l,11.14,75.95, CCJ,IN
Changchun Longjia Int'l,43.99,125.69, CGQ,CN
Charleston Int'l,32.88,-80.04, CHS,US
Coimbatore,11.03,77.04, CJB,IN
Someseni,46.78,23.69, CLJ,RO
Ignacio Agramonte,21.42,-77.85, CMW,CU
Casper/Natrona County Int'l,42.9,-106.46, CPR,US
Clark Int'l,15.19,120.55, CRK,PH
Yeager,38.37,-81.6, CRW,US
Catania Fontanarossa,37.47,15.07, CTA,IT
Chetumal Int'l,18.51,-88.32, CTM,MX
Cardiff,51.4,-3.34, CWL,GB
Gerrard Smith,19.69,-79.88, CYB,KY
Cozumel Int'l,20.51,-86.93, CZM,MX
James M. Cox Dayton Int'l,39.9,-84.22, DAY,US
Dubbo,-32.22,148.57, DBO,AU
Washington Nat'l,38.85,-77.04, DCA,US
